data;sistema;volume_porcentagem;volume_variacao;volume_operacional;pluviometria_dia;pluviometria_mensal;pluviometria_hist
2022-12-16;Cantareira;38,3;0,1;375,88681;0,0;169,8;209,9
2022-12-16;Alto Tietê;47,0;-0,1;263,61320;0,0;92,8;189,3
2022-12-16;Guarapiranga;83,8;0,2;143,45914;0,0;124,4;173,3
2022-12-16;Cotia;51,7;-0,2;8,53142;0,0;128,8;166,2
2022-12-16;Rio Grande;101,2;-0,3;113,52278;0,0;110,2;188,0
2022-12-16;Rio Claro;46,5;0,0;6,35543;0,0;165,2;258,7
2022-12-16;São Lourenço;80,7;-0,9;71,68195;0,0;248,6;211,9
2022-12-15;Cantareira;38,2;0,2;374,81968;0,0;169,8;209,9
2022-12-15;Alto Tietê;47,1;0,1;263,86256;0,1;92,8;189,3
2022-12-15;Guarapiranga;83,6;0,1;143,19794;0,2;124,4;173,3
2022-12-15;Cotia;51,9;0,5;8,55704;0,2;128,8;166,2
2022-12-15;Rio Grande;101,5;0,0;113,90757;0,0;110,2;188,0
2022-12-15;Rio Claro;46,5;0,1;6,35543;0,0;165,2;258,7
2022-12-15;São Lourenço;81,6;0,4;72,50380;0,0;248,6;211,9
2022-12-14;Cantareira;38,0;0,8;372,85627;37,4;169,8;209,9
2022-12-14;Alto Tietê;47,0;0,2;263,51666;16,1;92,7;189,3
2022-12-14;Guarapiranga;83,5;0,8;142,93681;17,4;124,2;173,3
2022-12-14;Cotia;51,4;1,1;8,48030;13,6;128,6;166,2
2022-12-14;Rio Grande;101,5;0,6;113,90757;18,6;110,2;188,0
2022-12-14;Rio Claro;46,4;2,7;6,34424;34,4;165,2;258,7
2022-12-14;São Lourenço;81,2;1,0;72,09237;7,0;248,6;211,9
2022-12-13;Cantareira;37,2;0,1;365,57029;9,1;132,4;209,9
2022-12-13;Alto Tietê;46,8;0,0;262,21553;3,1;76,6;189,3
2022-12-13;Guarapiranga;82,7;0,0;141,63239;8,2;106,8;173,3
2022-12-13;Cotia;50,3;0,7;8,30275;23,4;115,0;166,2
2022-12-13;Rio Grande;100,9;-0,3;113,13879;8,8;91,6;188,0
2022-12-13;Rio Claro;43,7;0,0;5,97211;5,4;130,8;258,7
2022-12-13;São Lourenço;80,2;-0,6;71,27254;34,0;241,6;211,9
2022-12-12;Cantareira;37,1;0,1;364,44142;10,0;123,3;209,9
2022-12-12;Alto Tietê;46,8;0,0;262,02488;8,0;73,5;189,3
2022-12-12;Guarapiranga;82,7;-0,3;141,63239;0,0;98,6;173,3
2022-12-12;Cotia;49,6;-0,1;8,17720;0,0;91,6;166,2
2022-12-12;Rio Grande;101,2;-0,3;113,52278;0,0;82,8;188,0
2022-12-12;Rio Claro;43,7;0,0;5,97211;0,0;125,4;258,7
2022-12-12;São Lourenço;80,8;-1,2;71,78446;8,2;207,6;211,9
2022-12-11;Cantareira;37,0;0,2;363,19847;0,0;113,3;209,9
2022-12-11;Alto Tietê;46,8;-0,1;262,07580;0,0;65,5;189,3
2022-12-11;Guarapiranga;83,0;-0,2;142,15392;0,0;98,6;173,3
2022-12-11;Cotia;49,7;-0,3;8,20222;0,0;91,6;166,2
2022-12-11;Rio Grande;101,5;-0,6;113,90757;0,0;82,8;188,0
2022-12-11;Rio Claro;43,7;0,0;5,97211;0,0;125,4;258,7
2022-12-11;São Lourenço;82,0;-1,3;72,81304;0,0;199,4;211,9
2022-12-10;Cantareira;36,8;0,3;361,56026;0,0;113,3;209,9
2022-12-10;Alto Tietê;46,9;0,0;262,69778;0,1;65,5;189,3
2022-12-10;Guarapiranga;83,2;0,2;142,41480;0,0;98,6;173,3
2022-12-10;Cotia;50,0;-0,2;8,25240;0,0;91,6;166,2
2022-12-10;Rio Grande;102,1;-0,6;114,48627;0,0;82,8;188,0
2022-12-10;Rio Claro;43,7;0,0;5,97211;0,0;125,4;258,7
2022-12-10;São Lourenço;83,3;-0,8;73,95185;0,0;199,4;211,9
2022-12-09;Cantareira;36,5;0,6;358,25638;0,1;113,3;209,9
2022-12-09;Alto Tietê;46,9;0,1;262,81661;0,2;65,4;189,3
2022-12-09;Guarapiranga;83,0;0,6;142,15392;0,0;98,6;173,3
2022-12-09;Cotia;50,2;0,6;8,27755;0,0;91,6;166,2
2022-12-09;Rio Grande;102,7;-0,6;115,26069;0,0;82,8;188,0
2022-12-09;Rio Claro;43,7;0,1;5,97211;0,0;125,4;258,7
2022-12-09;São Lourenço;84,1;-0,2;74,68061;0,0;199,4;211,9
2022-12-08;Cantareira;35,9;0,8;352,63898;22,7;113,2;209,9
2022-12-08;Alto Tietê;46,8;0,2;262,50484;0,2;65,2;189,3
2022-12-08;Guarapiranga;82,4;1,5;141,11119;10,2;98,6;173,3
2022-12-08;Cotia;49,6;1,7;8,17720;0,2;91,6;166,2
2022-12-08;Rio Grande;103,3;-0,1;115,84362;0,4;82,8;188,0
2022-12-08;Rio Claro;43,6;1,8;5,96141;18,8;125,4;258,7
2022-12-08;São Lourenço;84,3;1,2;74,88941;0,6;199,4;211,9
2022-12-07;Cantareira;35,1;0,9;344,57808;32,0;90,5;209,9
2022-12-07;Alto Tietê;46,6;0,5;260,99001;26,1;65,0;189,3
2022-12-07;Guarapiranga;80,9;2,0;138,51027;31,0;88,4;173,3
2022-12-07;Cotia;47,9;2,5;7,90474;22,2;91,4;166,2
2022-12-07;Rio Grande;103,4;0,5;116,03834;18,2;82,4;188,0
2022-12-07;Rio Claro;41,8;1,0;5,70899;29,4;106,6;258,7
2022-12-07;São Lourenço;83,1;1,9;73,84800;9,6;198,8;211,9
2022-12-06;Cantareira;34,2;0,4;335,96606;19,1;58,5;209,9
2022-12-06;Alto Tietê;46,1;0,2;258,17020;10,2;38,9;189,3
2022-12-06;Guarapiranga;78,9;1,3;135,14254;15,8;57,4;173,3
2022-12-06;Cotia;45,4;0,7;7,49368;26,6;69,2;166,2
2022-12-06;Rio Grande;102,9;0,3;115,45480;10,8;64,2;188,0
2022-12-06;Rio Claro;40,8;0,0;5,57561;3,6;77,2;258,7
2022-12-06;São Lourenço;81,2;3,1;72,09237;20,2;189,2;211,9
2022-12-05;Cantareira;33,8;0,2;332,17758;8,0;39,4;209,9
2022-12-05;Alto Tietê;45,9;0,2;257,32693;11,8;28,7;189,3
2022-12-05;Guarapiranga;77,6;0,9;132,82057;7,6;41,6;173,3
2022-12-05;Cotia;44,7;0,8;7,37508;2,2;42,6;166,2
2022-12-05;Rio Grande;102,6;0,4;115,06678;7,2;53,4;188,0
2022-12-05;Rio Claro;40,8;0,3;5,57561;19,8;73,6;258,7
2022-12-05;São Lourenço;78,1;1,6;69,34146;37,6;169,0;211,9
2022-12-04;Cantareira;33,6;0,2;329,76943;15,4;31,4;209,9
2022-12-04;Alto Tietê;45,7;0,0;256,20621;11,0;16,9;189,3
2022-12-04;Guarapiranga;76,7;0,9;131,27717;8,4;34,0;173,3
2022-12-04;Cotia;43,9;1,0;7,23414;15,0;40,4;166,2
2022-12-04;Rio Grande;102,2;-0,2;114,67957;30,2;46,2;188,0
2022-12-04;Rio Claro;40,5;0,1;5,53504;9,0;53,8;258,7
2022-12-04;São Lourenço;76,5;1,1;67,93274;108,8;131,4;211,9
2022-12-03;Cantareira;33,4;0,0;328,48642;0,9;16,0;209,9
2022-12-03;Alto Tietê;45,7;0,0;256,24373;0,8;5,9;189,3
2022-12-03;Guarapiranga;75,8;0,3;129,73759;2,4;25,6;173,3
2022-12-03;Cotia;42,9;0,0;7,07158;20,4;25,4;166,2
2022-12-03;Rio Grande;102,4;-0,7;114,87307;0,0;16,0;188,0
2022-12-03;Rio Claro;40,4;0,0;5,51483;0,0;44,8;258,7
2022-12-03;São Lourenço;75,4;-0,6;66,93377;4,4;22,6;211,9
2022-12-02;Cantareira;33,4;0,0;328,41550;0,3;15,1;209,9
2022-12-02;Alto Tietê;45,7;0,0;256,28531;0,1;5,1;189,3
2022-12-02;Guarapiranga;75,5;0,8;129,22527;0,0;23,2;173,3
2022-12-02;Cotia;42,9;0,2;7,07158;0,0;5,0;166,2
2022-12-02;Rio Grande;103,1;-0,3;115,64911;0,0;16,0;188,0
2022-12-02;Rio Claro;40,4;0,1;5,51483;5,0;44,8;258,7
2022-12-02;São Lourenço;76,0;-0,1;67,53243;0,2;18,2;211,9
2022-12-01;Cantareira;33,4;0,3;327,91300;14,8;14,8;209,9
2022-12-01;Alto Tietê;45,7;0,1;256,04095;5,0;5,0;189,3
